                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70937,                 1.4858,                 1.0485,                0.99045,                0.99618,                0.99457,                0.88534,                0.49416,                0.99244,                0.90074,              0.0033313,              0.0033313,              0.0033313
                      2,                0.69017,                0.74296,                 1.0211,                0.99528,                 0.9976,                 0.9938,                0.88924,                0.48674,                0.51135,                 0.9008,              0.0065327,              0.0065327,              0.0065327
                      3,                 0.7295,                0.59803,                 1.0356,                0.98863,                0.98092,                 0.9939,                0.85889,                0.56302,                0.46061,                0.94592,              0.0096021,              0.0096021,              0.0096021
                      4,                0.72477,                0.52557,                 1.0348,                0.99065,                0.98924,                0.99401,                0.87587,                0.52826,                0.34924,                0.92291,               0.009406,               0.009406,               0.009406
                      5,                0.68412,                 0.4562,                 1.0143,                0.99921,                      1,                0.99491,                0.89926,                0.46229,                0.27212,                 0.8915,               0.009208,               0.009208,               0.009208
                      6,                 0.6515,                0.42085,                0.99965,                0.99928,                0.99939,                0.99499,                0.91919,                0.42939,                0.24706,                0.87488,                0.00901,                0.00901,                0.00901
                      7,                0.62836,                0.39555,                0.99002,                0.99924,                0.99998,                0.99483,                0.90994,                 0.4423,                0.24146,                0.88279,               0.008812,               0.008812,               0.008812
                      8,                0.60555,                0.38112,                0.97865,                0.99899,                      1,                0.99498,                0.91579,                0.42798,                0.23962,                0.87712,               0.008614,               0.008614,               0.008614
                      9,                0.58168,                0.36062,                0.96855,                0.99866,                0.99939,                0.99497,                0.92805,                0.39086,                0.22643,                0.86228,               0.008416,               0.008416,               0.008416
                     10,                0.56318,                0.34651,                0.96051,                0.99919,                      1,                0.99497,                0.93881,                0.37362,                0.19692,                0.84833,               0.008218,               0.008218,               0.008218
                     11,                0.55049,                0.33514,                0.95783,                  0.998,                      1,                0.99499,                0.94298,                0.36541,                0.20811,                0.84824,                0.00802,                0.00802,                0.00802
                     12,                0.53662,                 0.3286,                0.95133,                0.99907,                      1,                0.99498,                0.94655,                0.35582,                0.19476,                0.84206,               0.007822,               0.007822,               0.007822
                     13,                0.53137,                0.32034,                0.94883,                0.99882,                      1,                0.99499,                0.94595,                0.34788,                0.18975,                0.83957,               0.007624,               0.007624,               0.007624
                     14,                0.51143,                0.30924,                0.94027,                0.99917,                      1,                0.99498,                0.95725,                0.32864,                 0.1712,                0.83365,               0.007426,               0.007426,               0.007426
                     15,                0.50144,                0.30448,                0.93903,                  0.999,                      1,                0.99499,                0.96063,                 0.3166,                0.17317,                0.83201,               0.007228,               0.007228,               0.007228
                     16,                0.48868,                 0.2947,                0.93567,                  0.999,                      1,                  0.995,                 0.9553,                0.30892,                0.16925,                0.82722,                0.00703,                0.00703,                0.00703
                     17,                0.48012,                0.28906,                0.93165,                0.99794,                      1,                0.99499,                0.97077,                0.29281,                0.16165,                0.82101,               0.006832,               0.006832,               0.006832
                     18,                0.46498,                0.28172,                0.92589,                0.99381,                0.99573,                  0.995,                0.96898,                0.28574,                0.16548,                0.81741,               0.006634,               0.006634,               0.006634
                     19,                0.45496,                0.27697,                0.92276,                0.99831,                      1,                0.99499,                0.97268,                 0.2748,                0.15312,                0.81407,               0.006436,               0.006436,               0.006436
                     20,                0.44798,                0.27329,                0.92102,                0.99872,                      1,                  0.995,                0.97667,                0.26198,                0.14813,                0.81201,               0.006238,               0.006238,               0.006238
                     21,                 0.4344,                 0.2633,                 0.9151,                0.99965,                      1,                  0.995,                 0.9801,                0.25107,                0.14035,                0.80782,                0.00604,                0.00604,                0.00604
                     22,                0.42774,                0.26127,                0.91171,                0.99954,                      1,                  0.995,                0.98113,                0.24879,                0.14128,                0.80895,               0.005842,               0.005842,               0.005842
                     23,                0.41886,                0.25517,                0.90932,                0.99974,                      1,                  0.995,                0.98271,                 0.2356,                  0.136,                0.80399,               0.005644,               0.005644,               0.005644
                     24,                0.40691,                0.24887,                0.90739,                0.99961,                      1,                  0.995,                0.98648,                0.22509,                0.13039,                0.80119,               0.005446,               0.005446,               0.005446
                     25,                0.39803,                 0.2425,                0.90522,                 0.9996,                      1,                  0.995,                0.98443,                0.21401,                0.12593,                0.79929,               0.005248,               0.005248,               0.005248
                     26,                0.39264,                0.23976,                0.90339,                0.99977,                      1,                  0.995,                 0.9885,                0.20739,                0.12193,                0.79493,                0.00505,                0.00505,                0.00505
                     27,                0.38478,                0.23775,                0.90222,                0.99907,                      1,                  0.995,                0.98797,                0.19126,                0.11892,                 0.7933,               0.004852,               0.004852,               0.004852
                     28,                0.37101,                0.22827,                0.89575,                0.99972,                      1,                  0.995,                0.99021,                0.19411,                0.11953,                 0.7926,               0.004654,               0.004654,               0.004654
                     29,                0.36515,                0.23018,                0.89427,                0.99944,                      1,                  0.995,                0.99168,                0.18552,                0.11712,                0.79163,               0.004456,               0.004456,               0.004456
                     30,                0.35541,                0.22082,                0.89178,                0.99964,                      1,                  0.995,                0.99144,                0.18031,                0.11436,                0.78987,               0.004258,               0.004258,               0.004258
                     31,                0.35025,                0.21967,                0.88925,                0.99976,                      1,                  0.995,                0.99214,                0.17505,                0.10703,                0.78813,                0.00406,                0.00406,                0.00406
                     32,                0.34431,                0.21731,                0.88805,                0.99959,                      1,                  0.995,                0.99288,                0.16158,                0.10309,                0.78629,               0.003862,               0.003862,               0.003862
                     33,                0.33682,                0.21123,                0.88734,                0.99982,                      1,                  0.995,                0.99399,                0.15479,                0.09939,                0.78395,               0.003664,               0.003664,               0.003664
                     34,                0.33004,                0.20873,                0.88484,                0.99969,                      1,                  0.995,                0.99414,                0.15421,                0.10014,                0.78465,               0.003466,               0.003466,               0.003466
                     35,                 0.3194,                0.20328,                0.87998,                0.99957,                      1,                  0.995,                0.99436,                0.14891,                0.09692,                0.78264,               0.003268,               0.003268,               0.003268
                     36,                0.31659,                  0.203,                0.88261,                0.99972,                      1,                  0.995,                0.99459,                0.14808,                0.09694,                0.78221,                0.00307,                0.00307,                0.00307
                     37,                0.30569,                0.19607,                0.87698,                0.99974,                      1,                  0.995,                0.99496,                0.14077,                0.09691,                0.78155,               0.002872,               0.002872,               0.002872
                     38,                0.30274,                0.19419,                 0.8781,                 0.9998,                      1,                  0.995,                  0.995,                 0.1371,                0.09411,                0.78099,               0.002674,               0.002674,               0.002674
                     39,                0.29265,                0.18832,                0.87425,                0.99986,                      1,                  0.995,                0.99498,                 0.1328,                0.08898,                0.77991,               0.002476,               0.002476,               0.002476
                     40,                0.28809,                0.18725,                0.87411,                0.99982,                      1,                  0.995,                0.99485,                 0.1286,                0.08744,                0.77932,               0.002278,               0.002278,               0.002278
                     41,                0.19412,                0.13056,                0.78636,                0.99983,                      1,                  0.995,                0.99499,                0.12979,                0.08814,                0.77928,                0.00208,                0.00208,                0.00208
                     42,                0.18128,                0.12514,                0.78478,                0.99982,                      1,                  0.995,                  0.995,                0.12474,                0.08629,                0.77882,               0.001882,               0.001882,               0.001882
                     43,                0.17168,                0.11863,                0.78174,                0.99981,                      1,                  0.995,                0.99491,                0.11911,                0.08176,                0.77798,               0.001684,               0.001684,               0.001684
                     44,                0.16262,                0.11267,                0.77671,                 0.9998,                      1,                  0.995,                0.99479,                0.11665,                0.08108,                0.77723,               0.001486,               0.001486,               0.001486
                     45,                0.15434,                0.10795,                0.77543,                 0.9998,                      1,                  0.995,                0.99498,                0.11173,                0.07867,                 0.7765,               0.001288,               0.001288,               0.001288
                     46,                 0.1475,                 0.1043,                0.77343,                0.99982,                      1,                  0.995,                  0.995,                0.10829,                0.07771,                0.77582,                0.00109,                0.00109,                0.00109
                     47,                0.14005,                0.09765,                0.77117,                0.99981,                      1,                  0.995,                  0.995,                 0.1046,                0.07403,                0.77517,               0.000892,               0.000892,               0.000892
                     48,                0.13452,                0.09405,                0.77265,                 0.9998,                      1,                  0.995,                  0.995,                0.10002,                0.07121,                0.77459,               0.000694,               0.000694,               0.000694
                     49,                0.12846,                0.09098,                0.76856,                0.99979,                      1,                  0.995,                  0.995,                0.09737,                0.06998,                0.77409,               0.000496,               0.000496,               0.000496
                     50,                 0.1224,                0.08719,                0.76998,                0.99979,                      1,                  0.995,                  0.995,                0.09506,                0.06841,                0.77399,               0.000298,               0.000298,               0.000298
