                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1689,                 2.5234,                 1.4898,                0.87616,                 0.7366,                0.81303,                0.50514,                 1.1657,                 3.0219,                 1.5601,              0.0033302,              0.0033302,              0.0033302
                      2,                 1.1262,                 1.7586,                 1.4483,                0.92317,                0.74015,                0.81941,                0.49847,                 1.2767,                 2.1263,                 1.6747,              0.0065976,              0.0065976,              0.0065976
                      3,                 1.1608,                  1.603,                  1.484,                0.82197,                 0.7106,                0.79544,                 0.4669,                  1.352,                 1.9075,                 1.7325,               0.009799,               0.009799,               0.009799
                      4,                 1.1753,                 1.4866,                 1.4852,                0.75445,                0.74375,                 0.7668,                0.48332,                 1.2388,                 1.7475,                 1.6195,               0.009703,               0.009703,               0.009703
                      5,                 1.0958,                 1.3866,                 1.4372,                0.88111,                0.76648,                0.84262,                0.59534,                  1.077,                 1.3942,                 1.5176,               0.009604,               0.009604,               0.009604
                      6,                 1.0192,                 1.3165,                 1.3869,                0.90071,                0.78261,                0.85464,                0.62563,                 1.0345,                 1.3091,                 1.4831,               0.009505,               0.009505,               0.009505
                      7,                0.98317,                 1.2274,                 1.3641,                 0.9228,                0.82154,                0.86595,                0.62858,                 1.0412,                 1.2675,                 1.5208,               0.009406,               0.009406,               0.009406
                      8,                0.92981,                 1.1705,                 1.3245,                0.94173,                0.79955,                0.87888,                0.63802,                 0.9497,                  1.258,                 1.3483,               0.009307,               0.009307,               0.009307
                      9,                0.85967,                  1.074,                 1.2785,                0.95025,                0.79921,                0.89092,                0.70596,                0.86432,                 1.0674,                 1.3006,               0.009208,               0.009208,               0.009208
                     10,                0.87727,                 1.0776,                 1.3001,                0.93969,                0.81414,                0.87503,                0.68724,                0.95831,                 1.1864,                 1.3662,               0.009109,               0.009109,               0.009109
                     11,                0.85511,                 1.0357,                 1.2807,                0.97249,                0.80657,                0.89211,                0.71867,                 0.8612,                 1.0483,                 1.2742,                0.00901,                0.00901,                0.00901
                     12,                0.81847,                0.98646,                  1.255,                0.97392,                0.80188,                 0.8909,                0.72446,                0.85457,                 1.0882,                 1.2774,               0.008911,               0.008911,               0.008911
                     13,                0.80016,                0.97248,                 1.2496,                0.84199,                 0.7875,                0.84077,                 0.6463,                0.94987,                 1.4857,                   1.43,               0.008812,               0.008812,               0.008812
                     14,                0.77656,                0.95778,                 1.2342,                0.97146,                0.79782,                0.89515,                0.73186,                0.84099,                 1.0365,                 1.2618,               0.008713,               0.008713,               0.008713
